洲名,國家,日期,總確診數,新增確診數
亞洲,日本,2021-07-01,801337,1754
亞洲,日本,2021-07-02,803112,1775
亞洲,日本,2021-07-03,804990,1878
亞洲,日本,2021-07-04,806475,1485
亞洲,日本,2021-07-05,807504,1029
亞洲,日本,2021-07-06,809172,1668
亞洲,日本,2021-07-07,811361,2189
亞洲,日本,2021-07-08,813607,2246
亞洲,日本,2021-07-09,815883,2276
亞洲,日本,2021-07-10,818341,2458
亞洲,日本,2021-07-11,820371,2030
亞洲,日本,2021-07-12,821876,1505
亞洲,日本,2021-07-13,824260,2384
亞洲,日本,2021-07-14,827452,3192
亞洲,日本,2021-07-15,830870,3418
亞洲,日本,2021-07-16,834303,3433
亞洲,日本,2021-07-17,838189,3886
亞洲,日本,2021-07-18,841290,3101
亞洲,日本,2021-07-19,843618,2328
亞洲,日本,2021-07-20,847377,3759
亞洲,日本,2021-07-21,852326,4949
亞洲,日本,2021-07-22,857725,5399
亞洲,日本,2021-07-23,861959,4234
亞洲,日本,2021-07-24,865553,3594
亞洲,日本,2021-07-25,870592,5039
亞洲,日本,2021-07-26,875301,4709
亞洲,日本,2021-07-27,882971,7670
亞洲,日本,2021-07-28,892599,9628
亞洲,日本,2021-07-29,903351,10752
亞洲,日本,2021-07-30,914182,10831
亞洲,日本,2021-07-31,926604,12422
亞洲,日本,2021-08-01,936852,10248
亞洲,日本,2021-08-02,945330,8478
亞洲,日本,2021-08-03,957431,12101
亞洲,日本,2021-08-04,971743,14312
亞洲,日本,2021-08-05,987060,15317
亞洲,日本,2021-08-06,1002867,15807
亞洲,日本,2021-08-07,1018688,15821
亞洲,日本,2021-08-08,1033214,14526
亞洲,日本,2021-08-09,1045392,12178
亞洲,日本,2021-08-10,1056125,10733
亞洲,日本,2021-08-11,1072153,16028
亞洲,日本,2021-08-12,1091187,19034
亞洲,日本,2021-08-13,1111683,20496
亞洲,日本,2021-08-14,1131986,20303
亞洲,日本,2021-08-15,1149874,17888
亞洲,日本,2021-08-16,1164881,15007
亞洲,日本,2021-08-17,1184986,20105
亞洲,日本,2021-08-18,1209082,24096
亞洲,日本,2021-08-19,1234423,25341
亞洲,日本,2021-08-20,1260415,25992
亞洲,日本,2021-08-21,1286077,25662
亞洲,日本,2021-08-22,1308422,22345
亞洲,日本,2021-08-23,1325346,16924
亞洲,日本,2021-08-24,1347015,21669
亞洲,日本,2021-08-25,1371426,24411
亞洲,日本,2021-08-26,1396464,25038
亞洲,日本,2021-08-27,1420783,24319
亞洲,日本,2021-08-28,1443642,22859
亞洲,日本,2021-08-29,1462979,19337
亞洲,日本,2021-08-30,1476653,13674
亞洲,日本,2021-08-31,1494372,17719
亞洲,台灣,2021-07-01,14853,49
亞洲,台灣,2021-07-02,14911,58
亞洲,台灣,2021-07-03,14991,80
亞洲,台灣,2021-07-04,15030,39
亞洲,台灣,2021-07-05,15061,31
亞洲,台灣,2021-07-06,15088,27
亞洲,台灣,2021-07-07,15128,40
亞洲,台灣,2021-07-08,15149,21
亞洲,台灣,2021-07-09,15185,36
亞洲,台灣,2021-07-10,15218,33
亞洲,台灣,2021-07-11,15249,31
亞洲,台灣,2021-07-12,15273,24
亞洲,台灣,2021-07-13,15302,29
亞洲,台灣,2021-07-14,15328,26
亞洲,台灣,2021-07-15,15346,18
亞洲,台灣,2021-07-16,15378,32
亞洲,台灣,2021-07-17,15390,12
亞洲,台灣,2021-07-18,15408,18
亞洲,台灣,2021-07-19,15429,21
亞洲,台灣,2021-07-20,15453,24
亞洲,台灣,2021-07-21,15478,25
亞洲,台灣,2021-07-22,15511,33
亞洲,台灣,2021-07-23,15535,24
亞洲,台灣,2021-07-24,15558,23
亞洲,台灣,2021-07-25,15571,13
亞洲,台灣,2021-07-26,15582,11
亞洲,台灣,2021-07-27,15599,17
亞洲,台灣,2021-07-28,15619,20
亞洲,台灣,2021-07-29,15637,18
亞洲,台灣,2021-07-30,15662,25
亞洲,台灣,2021-07-31,15674,12
亞洲,台灣,2021-08-01,15688,14
亞洲,台灣,2021-08-02,15702,14
亞洲,台灣,2021-08-03,15721,19
亞洲,台灣,2021-08-04,15742,21
亞洲,台灣,2021-08-05,15753,11
亞洲,台灣,2021-08-06,15765,12
亞洲,台灣,2021-08-07,15775,10
亞洲,台灣,2021-08-08,15782,7
亞洲,台灣,2021-08-09,15790,8
亞洲,台灣,2021-08-10,15798,8
亞洲,台灣,2021-08-11,15814,16
亞洲,台灣,2021-08-12,15820,6
亞洲,台灣,2021-08-13,15836,16
亞洲,台灣,2021-08-14,15843,7
亞洲,台灣,2021-08-15,15852,9
亞洲,台灣,2021-08-16,15862,10
亞洲,台灣,2021-08-17,15880,18
亞洲,台灣,2021-08-18,15891,11
亞洲,台灣,2021-08-19,15897,6
亞洲,台灣,2021-08-20,15906,9
亞洲,台灣,2021-08-21,15916,10
亞洲,台灣,2021-08-22,15926,10
亞洲,台灣,2021-08-23,15932,6
亞洲,台灣,2021-08-24,15938,6
亞洲,台灣,2021-08-25,15939,1
亞洲,台灣,2021-08-26,15947,8
亞洲,台灣,2021-08-27,15954,7
亞洲,台灣,2021-08-28,15960,6
亞洲,台灣,2021-08-29,15983,23
亞洲,台灣,2021-08-30,15991,8
亞洲,台灣,2021-08-31,15995,4
